route_id,path_type,direction,seq,sid1,sid2,dow,hr,mins
1,main,go,57,3587,3588,Wednesday,9,2
1,main,go,58,3588,3590,Wednesday,10,3
1,main,go,59,3590,3591,Wednesday,11,10
1,main,go,60,3591,3592,Wednesday,12,2
1,main,go,61,3592,397,Wednesday,13,2
1,main,go,62,397,3593,Wednesday,14,4
1,main,go,63,3593,3594,Wednesday,15,8
1,main,go,64,3594,3608,Wednesday,16,4
1,main,go,65,3608,3595,Wednesday,17,8
1,main,go,66,3595,3597,Wednesday,18,10
1,main,go,67,3597,3598,Wednesday,19,3
1,main,go,68,3598,2060,Wednesday,20,4
1,main,go,69,2060,3599,Wednesday,21,2
1,main,go,70,3599,3600,Wednesday,22,8
1,main,go,71,3600,1585,Wednesday,23,2
1,main,go,72,1585,3601,Thursday,0,3
13-Jan,main,go,0,1589,1590,Thursday,1,9
13-Jan,main,go,1,1590,1591,Thursday,2,8
13-Jan,main,go,2,1591,1592,Thursday,3,7
13-Jan,main,go,3,1592,1593,Thursday,4,3
13-Jan,main,go,4,1593,1594,Thursday,5,3
13-Jan,main,go,5,1594,1595,Thursday,6,2
13-Jan,main,go,6,1595,5604,Thursday,7,5
13-Jan,main,go,7,5604,3882,Thursday,8,3
13-Jan,main,go,8,3882,3883,Thursday,9,9
13-Jan,main,go,9,3883,3884,Thursday,10,8
13-Jan,main,go,10,3884,3885,Thursday,11,10
13-Jan,main,go,11,3885,3886,Thursday,12,7
13-Jan,main,go,12,3886,3887,Thursday,13,3
13-Jan,main,go,13,3887,3888,Thursday,14,4
13-Jan,main,go,14,3888,3889,Thursday,15,9
13-Jan,main,go,15,3889,3890,Thursday,16,7
13-Jan,main,go,16,3890,3110,Thursday,17,10
13-Jan,main,go,17,3110,3891,Thursday,18,10
13-Jan,main,go,18,3891,3892,Thursday,19,10
13-Jan,main,go,19,3892,3803,Thursday,20,10
13-Jan,main,go,20,3803,3804,Thursday,21,4
13-Jan,main,go,21,3804,3805,Thursday,22,8
13-Jan,main,go,22,3805,3806,Thursday,23,4
13-Jan,main,go,23,3806,4242,Friday,0,5
13-Jan,main,go,24,4242,2379,Friday,1,8
13-Jan,main,go,25,2379,4243,Friday,2,10
13-Jan,main,go,26,4243,4244,Friday,3,8
13-Jan,main,go,27,4244,4245,Friday,4,5
13-Jan,main,go,28,4245,2663,Friday,5,7
13-Jan,main,go,29,2663,3533,Friday,6,10
13-Jan,main,go,30,3533,3534,Friday,7,5
13-Jan,main,go,31,3534,3535,Friday,8,4
13-Jan,main,go,32,3535,3536,Friday,9,10
13-Jan,main,go,33,3536,3537,Friday,10,4
13-Jan,main,go,34,3537,3538,Friday,11,2
13-Jan,main,go,35,3538,3539,Friday,12,2
13-Jan,main,go,36,3539,3540,Friday,13,4
13-Jan,main,go,37,3540,3541,Friday,14,7
13-Jan,main,go,38,3541,3542,Friday,15,5
13-Jan,main,go,39,3542,3543,Friday,16,9
13-Jan,main,go,40,3543,3544,Friday,17,7
13-Jan,main,go,41,3544,3545,Friday,18,9
13-Jan,main,go,42,3545,3546,Friday,19,2
13-Jan,main,go,43,3546,1720,Friday,20,9
13-Jan,main,go,44,1720,5396,Friday,21,4
13-Jan,main,go,45,5396,1707,Friday,22,9
13-Jan,main,go,46,1707,5379,Friday,23,6
13-Jan,main,go,47,5379,1708,Saturday,0,10
13-Jan,main,go,48,1708,1709,Saturday,1,5
13-Jan,main,go,49,1709,1350,Saturday,2,9
13-Jan,main,go,50,1350,1710,Saturday,3,9
13-Jan,main,go,51,1710,1351,Saturday,4,9
13-Jan,main,go,52,1351,1352,Saturday,5,9
13-Jan,main,go,53,1352,1353,Saturday,6,8
13-Jan,main,go,54,1353,1336,Saturday,7,9
13-Jan,main,go,55,1336,1354,Saturday,8,3
13-Jan,main,go,56,1354,1355,Saturday,9,10
13-Jan,main,go,57,1355,4014,Saturday,10,3
13-Jan,main,go,58,4014,4015,Saturday,11,3
13-Jan,main,go,59,4015,4016,Saturday,12,5
13-Jan,main,go,60,4016,4017,Saturday,13,10
13-Jan,main,go,61,4017,1614,Saturday,14,2
13-Jan,main,go,62,1614,4083,Saturday,15,5
13-Jan,main,back,0,4083,3183,Saturday,16,3
13-Jan,main,back,1,3183,4084,Saturday,17,4
13-Jan,main,back,2,4084,4085,Saturday,18,10
13-Jan,main,back,3,4085,4086,Saturday,19,10
13-Jan,main,back,4,4086,4087,Saturday,20,5
13-Jan,main,back,5,4087,4088,Saturday,21,8
13-Jan,main,back,6,4088,4089,Saturday,22,8
13-Jan,main,back,7,4089,1334,Saturday,23,4
13-Jan,main,back,8,1334,1335,Sunday,0,9
13-Jan,main,back,9,1335,1336,Sunday,1,7
13-Jan,main,back,10,1336,1337,Sunday,2,5
13-Jan,main,back,11,1337,1338,Sunday,3,5
13-Jan,main,back,12,1338,1339,Sunday,4,8
13-Jan,main,back,13,1339,1711,Sunday,5,6
13-Jan,main,back,14,1711,1712,Sunday,6,10
13-Jan,main,back,15,1712,1714,Sunday,7,3
13-Jan,main,back,16,1714,1715,Sunday,8,4
13-Jan,main,back,17,1715,1716,Sunday,9,7
13-Jan,main,back,18,1716,1717,Sunday,10,8
13-Jan,main,back,19,1717,1718,Sunday,11,5
13-Jan,main,back,20,1718,5365,Sunday,12,3
13-Jan,main,back,21,5365,1719,Sunday,13,4
13-Jan,main,back,22,1719,3576,Sunday,14,5
13-Jan,main,back,23,3576,5401,Sunday,15,4
13-Jan,main,back,24,5401,3577,Sunday,16,4
13-Jan,main,back,25,3577,382,Sunday,17,8
13-Jan,main,back,26,382,2223,Sunday,18,5
13-Jan,main,back,27,2223,2224,Sunday,19,2
13-Jan,main,back,28,2224,2225,Sunday,20,2
13-Jan,main,back,29,2225,2226,Sunday,21,8
13-Jan,main,back,30,2226,2227,Sunday,22,8
13-Jan,main,back,31,2227,2228,Sunday,23,3
13-Jan,main,back,32,2228,2229,Monday,0,8
13-Jan,main,back,33,2229,2230,Monday,1,4
13-Jan,main,back,34,2230,2231,Monday,2,8
13-Jan,main,back,35,2231,2232,Monday,3,6
13-Jan,main,back,36,2232,2387,Monday,4,4
13-Jan,main,back,37,2387,2388,Monday,5,7
13-Jan,main,back,38,2388,2389,Monday,6,7
13-Jan,main,back,39,2389,2390,Monday,7,5
13-Jan,main,back,40,2390,2391,Monday,8,5
13-Jan,main,back,41,2391,2392,Monday,9,10
13-Jan,main,back,42,2392,2393,Monday,10,4
13-Jan,main,back,43,2393,2394,Monday,11,7
13-Jan,main,back,44,2394,3826,Monday,12,2
13-Jan,main,back,45,3826,3827,Monday,13,5
13-Jan,main,back,46,3827,3828,Monday,14,10
13-Jan,main,back,47,3828,3907,Monday,15,6
13-Jan,main,back,48,3907,2395,Monday,16,3
13-Jan,main,back,49,2395,3908,Monday,17,5
13-Jan,main,back,50,3908,3909,Monday,18,4
13-Jan,main,back,51,3909,3910,Monday,19,9
13-Jan,main,back,52,3910,3111,Monday,20,8
13-Jan,main,back,53,3111,3911,Monday,21,10
13-Jan,main,back,54,3911,3912,Monday,22,5
13-Jan,main,back,55,3912,3913,Monday,23,2
13-Jan,main,back,56,3913,5330,Tuesday,0,6
13-Jan,main,back,57,5330,4764,Tuesday,1,10
13-Jan,main,back,58,4764,3880,Tuesday,2,2
13-Jan,main,back,59,3880,1634,Tuesday,3,2
13-Jan,main,back,60,1634,5603,Tuesday,4,10
13-Jan,main,back,61,5603,1635,Tuesday,5,6
13-Jan,main,back,62,1635,1636,Tuesday,6,6
13-Jan,main,back,63,1636,1637,Tuesday,7,5
13-Jan,main,back,64,1637,1638,Tuesday,8,4
13-Jan,main,back,65,1638,1639,Tuesday,9,8
13-Jan,main,back,66,1639,5319,Tuesday,10,4
13-Jan,main,back,67,5319,1640,Tuesday,11,3
18-Jan,main,go,0,5589,1333,Tuesday,12,5
18-Jan,main,go,1,1333,835,Tuesday,13,3
18-Jan,main,go,2,835,5476,Tuesday,14,2
18-Jan,main,go,3,5476,849,Tuesday,15,6
18-Jan,main,go,4,849,836,Tuesday,16,6
18-Jan,main,go,5,836,837,Tuesday,17,10
18-Jan,main,go,6,837,879,Tuesday,18,8
18-Jan,main,go,7,879,838,Tuesday,19,8
18-Jan,main,go,8,838,839,Tuesday,20,4
18-Jan,main,go,9,839,880,Tuesday,21,9
18-Jan,main,go,10,880,5495,Tuesday,22,7
18-Jan,main,go,11,5495,881,Tuesday,23,8
18-Jan,main,go,12,881,882,Wednesday,0,4
18-Jan,main,go,13,882,883,Wednesday,1,7
18-Jan,main,go,14,883,4698,Wednesday,2,7
18-Jan,main,go,15,4698,884,Wednesday,3,10
18-Jan,main,go,16,884,885,Wednesday,4,10
18-Jan,main,go,17,885,886,Wednesday,5,7
18-Jan,main,go,18,886,887,Wednesday,6,9
18-Jan,main,go,19,887,888,Wednesday,7,4
18-Jan,main,go,20,888,4957,Wednesday,8,3
18-Jan,main,go,21,4957,5555,Wednesday,9,9
18-Jan,main,go,22,5555,889,Wednesday,10,4
18-Jan,main,go,23,889,4185,Wednesday,11,6
18-Jan,main,go,24,4185,890,Wednesday,12,7
18-Jan,main,go,25,890,891,Wednesday,13,3
18-Jan,main,go,26,891,4174,Wednesday,14,10
18-Jan,main,go,27,4174,893,Wednesday,15,10
18-Jan,main,go,28,893,5547,Wednesday,16,10
18-Jan,main,go,29,5547,895,Wednesday,17,10
18-Jan,main,go,30,895,4175,Wednesday,18,9
18-Jan,main,go,31,4175,4176,Wednesday,19,10
18-Jan,main,go,32,4176,896,Wednesday,20,10
18-Jan,main,go,33,896,897,Wednesday,21,7
18-Jan,main,go,34,897,3024,Wednesday,22,6
18-Jan,main,go,35,3024,3025,Wednesday,23,10
18-Jan,main,go,36,3025,3026,Thursday,0,8
18-Jan,main,go,37,3026,4177,Thursday,1,6
18-Jan,main,go,38,4177,3028,Thursday,2,6
18-Jan,main,go,39,3028,4178,Thursday,3,7
18-Jan,main,go,40,4178,3031,Thursday,4,10
18-Jan,main,go,41,3031,366,Thursday,5,3
18-Jan,main,go,42,366,4225,Thursday,6,2
18-Jan,main,go,43,4225,3893,Thursday,7,2
18-Jan,main,go,44,3893,4186,Thursday,8,4
18-Jan,main,go,45,4186,4187,Thursday,9,8
18-Jan,main,go,46,4187,3894,Thursday,10,5
18-Jan,main,go,47,3894,3895,Thursday,11,6
18-Jan,main,go,48,3895,4227,Thursday,12,8
18-Jan,main,go,49,4227,3896,Thursday,13,3
18-Jan,main,go,50,3896,4192,Thursday,14,4
18-Jan,main,go,51,4192,3419,Thursday,15,3
18-Jan,main,go,52,3419,327,Thursday,16,9
18-Jan,main,go,53,327,2451,Thursday,17,4
18-Jan,main,go,54,2451,2446,Thursday,18,9
18-Jan,main,go,55,2446,2452,Thursday,19,7
18-Jan,main,go,56,2452,2724,Thursday,20,2
18-Jan,main,go,57,2724,2726,Thursday,21,8
18-Jan,main,go,58,2726,4837,Thursday,22,7
18-Jan,main,go,59,4837,2728,Thursday,23,7
18-Jan,main,go,60,2728,1584,Friday,0,10
18-Jan,main,go,61,1584,3257,Friday,1,10
18-Jan,main,go,62,3257,3258,Friday,2,5
18-Jan,main,go,63,3258,3259,Friday,3,4
18-Jan,main,go,64,3259,3260,Friday,4,3
18-Jan,main,go,65,3260,3175,Friday,5,2
18-Jan,main,go,66,3175,3589,Friday,6,6
18-Jan,main,go,67,3589,3614,Friday,7,9
18-Jan,main,go,68,3614,375,Friday,8,3
18-Jan,main,go,69,375,3175,Friday,9,5
18-Jan,main,back,0,3175,4329,Friday,10,4
18-Jan,main,back,1,4329,4330,Friday,11,10
18-Jan,main,back,2,4330,4308,Friday,12,9
18-Jan,main,back,3,4308,3262,Friday,13,4
18-Jan,main,back,4,3262,3263,Friday,14,8
18-Jan,main,back,5,3263,3287,Friday,15,6
18-Jan,main,back,6,3287,4045,Friday,16,9
18-Jan,main,back,7,4045,4046,Friday,17,10
18-Jan,main,back,8,4046,2730,Friday,18,5
18-Jan,main,back,9,2730,2731,Friday,19,6
18-Jan,main,back,10,2731,2732,Friday,20,6
18-Jan,main,back,11,2732,2734,Friday,21,7
18-Jan,main,back,12,2734,2445,Friday,22,9
18-Jan,main,back,13,2445,2446,Friday,23,2
18-Jan,main,back,14,2446,327,Saturday,0,7
18-Jan,main,back,15,327,2450,Saturday,1,8
18-Jan,main,back,16,2450,2448,Saturday,2,6
18-Jan,main,back,17,2448,3443,Saturday,3,9
18-Jan,main,back,18,3443,3898,Saturday,4,8
18-Jan,main,back,19,3898,3900,Saturday,5,10
18-Jan,main,back,20,3900,3901,Saturday,6,4
18-Jan,main,back,21,3901,781,Saturday,7,9
18-Jan,main,back,22,781,3380,Saturday,8,3
18-Jan,main,back,23,3380,4206,Saturday,9,10
18-Jan,main,back,24,4206,3903,Saturday,10,8
18-Jan,main,back,25,3903,4230,Saturday,11,2
18-Jan,main,back,26,4230,3904,Saturday,12,9
18-Jan,main,back,27,3904,4229,Saturday,13,2
18-Jan,main,back,28,4229,4180,Saturday,14,3
18-Jan,main,back,29,4180,3039,Saturday,15,9
18-Jan,main,back,30,3039,3040,Saturday,16,5
18-Jan,main,back,31,3040,3041,Saturday,17,10
18-Jan,main,back,32,3041,3043,Saturday,18,9
18-Jan,main,back,33,3043,3023,Saturday,19,8
18-Jan,main,back,34,3023,4769,Saturday,20,6
18-Jan,main,back,35,4769,4182,Saturday,21,9
18-Jan,main,back,36,4182,898,Saturday,22,6
18-Jan,main,back,37,898,899,Saturday,23,7
18-Jan,main,back,38,899,5546,Sunday,0,4
18-Jan,main,back,39,5546,900,Sunday,1,7
18-Jan,main,back,40,900,5545,Sunday,2,10
18-Jan,main,back,41,5545,901,Sunday,3,5
18-Jan,main,back,42,901,902,Sunday,4,4
18-Jan,main,back,43,902,903,Sunday,5,2
18-Jan,main,back,44,903,904,Sunday,6,9
18-Jan,main,back,45,904,4183,Sunday,7,7
18-Jan,main,back,46,4183,905,Sunday,8,6
18-Jan,main,back,47,905,5554,Sunday,9,10
18-Jan,main,back,48,5554,906,Sunday,10,4
18-Jan,main,back,49,906,907,Sunday,11,5
18-Jan,main,back,50,907,908,Sunday,12,3
18-Jan,main,back,51,908,1263,Sunday,13,8
18-Jan,main,back,52,1263,409,Sunday,14,10
18-Jan,main,back,53,409,910,Sunday,15,3
18-Jan,main,back,54,910,911,Sunday,16,8
18-Jan,main,back,55,911,5494,Sunday,17,9
18-Jan,main,back,56,5494,4184,Sunday,18,3
18-Jan,main,back,57,4184,843,Sunday,19,2
18-Jan,main,back,58,843,844,Sunday,20,8
18-Jan,main,back,59,844,846,Sunday,21,10
18-Jan,main,back,60,846,847,Sunday,22,9
18-Jan,main,back,61,847,836,Sunday,23,10
18-Jan,main,back,62,836,878,Monday,0,9
18-Jan,main,back,63,878,5477,Monday,1,9
18-Jan,main,back,64,5477,876,Monday,2,2
18-Jan,main,back,65,876,848,Monday,3,2
18-Jan,main,back,66,848,4765,Monday,4,7
18-Jan,main,back,67,4765,5479,Monday,5,9
18-Jan,main,back,68,5479,1299,Monday,6,2
18-Jan,main,back,69,1299,5588,Monday,7,8
1-18E,main,go,0,5589,1333,Monday,8,3
1-18E,main,go,1,1333,835,Monday,9,6
1-18E,main,go,2,835,5476,Monday,10,6
1-18E,main,go,3,5476,849,Monday,11,5
1-18E,main,go,4,849,836,Monday,12,6
1-18E,main,go,5,836,837,Monday,13,6
1-18E,main,go,6,837,879,Monday,14,8
1-18E,main,go,7,879,838,Monday,15,10
1-18E,main,go,8,838,839,Monday,16,4
1-18E,main,go,9,839,880,Monday,17,7
1-18E,main,go,10,880,5495,Monday,18,2
1-18E,main,go,11,5495,881,Monday,19,8
1-18E,main,go,12,881,882,Monday,20,10
1-18E,main,go,13,882,883,Monday,21,3
1-18E,main,go,14,883,4698,Monday,22,2
1-18E,main,go,15,4698,884,Monday,23,10
1-18E,main,go,16,884,885,Tuesday,0,6
1-18E,main,go,17,885,886,Tuesday,1,2
1-18E,main,go,18,886,887,Tuesday,2,4
1-18E,main,go,19,887,888,Tuesday,3,9
1-18E,main,go,20,888,4957,Tuesday,4,4
1-18E,main,go,21,4957,5555,Tuesday,5,7
1-18E,main,go,22,5555,889,Tuesday,6,10
1-18E,main,go,23,889,4185,Tuesday,7,8
1-18E,main,go,24,4185,890,Tuesday,8,2
1-18E,main,go,25,890,891,Tuesday,9,8
1-18E,main,go,26,891,4174,Tuesday,10,8
1-18E,main,go,27,4174,893,Tuesday,11,9
1-18E,main,go,28,893,5547,Tuesday,12,2
1-18E,main,go,29,5547,895,Tuesday,13,7
1-18E,main,go,30,895,4175,Tuesday,14,8
1-18E,main,go,31,4175,4176,Tuesday,15,9
1-18E,main,go,32,4176,896,Tuesday,16,5
1-18E,main,go,33,896,897,Tuesday,17,3
1-18E,main,go,34,897,3024,Tuesday,18,10
1-18E,main,go,35,3024,3025,Tuesday,19,10
1-18E,main,go,36,3025,3026,Tuesday,20,6
1-18E,main,go,37,3026,4177,Tuesday,21,6
1-18E,main,go,38,4177,3028,Tuesday,22,6
1-18E,main,go,39,3028,4178,Tuesday,23,6
1-18E,main,go,40,4178,3031,Wednesday,0,3
1-18E,main,go,41,3031,366,Wednesday,1,4
1-18E,main,go,42,366,4225,Wednesday,2,7
1-18E,main,go,43,4225,3893,Wednesday,3,7
1-18E,main,go,44,3893,4186,Wednesday,4,9
1-18E,main,go,45,4186,4187,Wednesday,5,7
1-18E,main,go,46,4187,3894,Wednesday,6,5
1-18E,main,go,47,3894,3895,Wednesday,7,7
1-18E,main,go,48,3895,4227,Wednesday,8,4
1-18E,main,go,49,4227,3896,Wednesday,9,6
1-18E,main,go,50,3896,4192,Wednesday,10,8
1-18E,main,go,51,4192,3419,Wednesday,11,5
1-18E,main,go,52,3419,327,Wednesday,12,7
1-18E,main,go,53,327,2451,Wednesday,13,4
1-18E,main,go,54,2451,2446,Wednesday,14,6
1-18E,main,go,55,2446,2452,Wednesday,15,6
1-18E,main,go,56,2452,2724,Wednesday,16,3
1-18E,main,go,57,2724,2726,Wednesday,17,4
1-18E,main,go,58,2726,4837,Wednesday,18,9
1-18E,main,go,59,4837,2728,Wednesday,19,10
1-18E,main,go,60,2728,1584,Wednesday,20,9
1-18E,main,go,61,1584,3257,Wednesday,21,6
1-18E,main,go,62,3257,3258,Wednesday,22,8
1-18E,main,go,63,3258,3259,Wednesday,23,7
1-18E,main,go,64,3259,3260,Thursday,0,9
1-18E,main,go,65,3260,3175,Thursday,1,3
1-18E,main,go,66,3175,3589,Thursday,2,5
1-18E,main,go,67,3589,3614,Thursday,3,3
1-18E,main,go,68,3614,375,Thursday,4,7
1-18E,main,go,69,375,3175,Thursday,5,9
1-18E,main,back,0,3175,4329,Thursday,6,2
1-18E,main,back,1,4329,4330,Thursday,7,9
1-18E,main,back,2,4330,4308,Thursday,8,9
1-18E,main,back,3,4308,3262,Thursday,9,2
1-18E,main,back,4,3262,3263,Thursday,10,10
1-18E,main,back,5,3263,3287,Thursday,11,5
1-18E,main,back,6,3287,4045,Thursday,12,10
1-18E,main,back,7,4045,4046,Thursday,13,10
1-18E,main,back,8,4046,2730,Thursday,14,9
1-18E,main,back,9,2730,2731,Thursday,15,10
1-18E,main,back,10,2731,2732,Thursday,16,9
1-18E,main,back,11,2732,2734,Thursday,17,5
1-18E,main,back,12,2734,2445,Thursday,18,6
1-18E,main,back,13,2445,2446,Thursday,19,9
1-18E,main,back,14,2446,327,Thursday,20,8
1-18E,main,back,15,327,2450,Thursday,21,4
1-18E,main,back,16,2450,2448,Thursday,22,9
1-18E,main,back,17,2448,3443,Thursday,23,8
1-18E,main,back,18,3443,3898,Friday,0,6
1-18E,main,back,19,3898,3900,Friday,1,7
1-18E,main,back,20,3900,3901,Friday,2,2
1-18E,main,back,21,3901,781,Friday,3,5
1-18E,main,back,22,781,3380,Friday,4,3
1-18E,main,back,23,3380,4206,Friday,5,3
1-18E,main,back,24,4206,3903,Friday,6,9
1-18E,main,back,25,3903,4230,Friday,7,9
1-18E,main,back,26,4230,3904,Friday,8,7
1-18E,main,back,27,3904,4229,Friday,9,2
1-18E,main,back,28,4229,4180,Friday,10,7
1-18E,main,back,29,4180,3039,Friday,11,3
1-18E,main,back,30,3039,3040,Friday,12,6
1-18E,main,back,31,3040,3041,Friday,13,3
1-18E,main,back,32,3041,3043,Friday,14,8
1-18E,main,back,33,3043,3023,Friday,15,4
1-18E,main,back,34,3023,4769,Friday,16,4
1-18E,main,back,35,4769,4182,Friday,17,5
1-18E,main,back,36,4182,898,Friday,18,9
1-18E,main,back,37,898,899,Friday,19,2
1-18E,main,back,38,899,5546,Friday,20,3
1-18E,main,back,39,5546,900,Friday,21,10
1-18E,main,back,40,900,5545,Friday,22,4
1-18E,main,back,41,5545,901,Friday,23,7
1-18E,main,back,42,901,902,Saturday,0,7
1-18E,main,back,43,902,903,Saturday,1,2
1-18E,main,back,44,903,904,Saturday,2,4
1-18E,main,back,45,904,4183,Saturday,3,5
1-18E,main,back,46,4183,905,Saturday,4,10
1-18E,main,back,47,905,5554,Saturday,5,6
1-18E,main,back,48,5554,906,Saturday,6,10
1-18E,main,back,49,906,907,Saturday,7,2
1-18E,main,back,50,907,908,Saturday,8,10
1-18E,main,back,51,908,1263,Saturday,9,7
1-18E,main,back,52,1263,409,Saturday,10,3
1-18E,main,back,53,409,910,Saturday,11,7
1-18E,main,back,54,910,911,Saturday,12,9
1-18E,main,back,55,911,5494,Saturday,13,10
1-18E,main,back,56,5494,4184,Saturday,14,6
1-18E,main,back,57,4184,843,Saturday,15,5
1-18E,main,back,58,843,844,Saturday,16,7
1-18E,main,back,59,844,846,Saturday,17,7
1-18E,main,back,60,846,847,Saturday,18,9
1-18E,main,back,61,847,836,Saturday,19,7
1-18E,main,back,62,836,878,Saturday,20,7
1-18E,main,back,63,878,5477,Saturday,21,8
1-18E,main,back,64,5477,876,Saturday,22,7
1-18E,main,back,65,876,848,Saturday,23,5
1-18E,main,back,66,848,4765,Sunday,0,6
1-18E,main,back,67,4765,5479,Sunday,1,2
1-18E,main,back,68,5479,1299,Sunday,2,9
1-18E,main,back,69,1299,5588,Sunday,3,3
1-24E,main,go,0,919,920,Sunday,4,3
1-24E,main,go,1,920,921,Sunday,5,5
1-24E,main,go,2,921,514,Sunday,6,7
1-24E,main,go,3,514,922,Sunday,7,5
1-24E,main,go,4,922,5402,Sunday,8,6
1-24E,main,go,5,5402,1860,Sunday,9,5
1-24E,main,go,6,1860,923,Sunday,10,10
1-24E,main,go,7,923,924,Sunday,11,3
1-24E,main,go,8,924,925,Sunday,12,5
1-24E,main,go,9,925,926,Sunday,13,8
1-24E,main,go,10,926,927,Sunday,14,3
1-24E,main,go,11,927,928,Sunday,15,7
1-24E,main,go,12,928,929,Sunday,16,8
1-24E,main,go,13,929,930,Sunday,17,9
1-24E,main,go,14,930,870,Sunday,18,2
1-24E,main,go,15,870,515,Sunday,19,6
1-24E,main,go,16,515,871,Sunday,20,9
1-24E,main,go,17,871,872,Sunday,21,5
1-24E,main,go,18,872,873,Sunday,22,6
1-24E,main,go,19,873,408,Sunday,23,6
1-24E,main,go,20,408,874,Monday,0,8
1-24E,main,go,21,874,875,Monday,1,3
1-24E,main,go,22,875,836,Monday,2,8
1-24E,main,go,23,836,837,Monday,3,3
1-24E,main,go,24,837,879,Monday,4,6
1-24E,main,go,25,879,838,Monday,5,7
1-24E,main,go,26,838,839,Monday,6,10
1-24E,main,go,27,839,880,Monday,7,5
1-24E,main,go,28,880,5495,Monday,8,6
1-24E,main,go,29,5495,881,Monday,9,10
1-24E,main,go,30,881,882,Monday,10,6
1-24E,main,go,31,882,883,Monday,11,9
1-24E,main,go,32,883,4698,Monday,12,2
1-24E,main,go,33,4698,884,Monday,13,5
1-24E,main,go,34,884,886,Monday,14,6
1-24E,main,go,35,886,887,Monday,15,10
1-24E,main,go,36,887,888,Monday,16,7
1-24E,main,go,37,888,4957,Monday,17,3
1-24E,main,go,38,4957,5555,Monday,18,3
1-24E,main,go,39,5555,889,Monday,19,5
1-24E,main,go,40,889,4185,Monday,20,2
1-24E,main,go,41,4185,890,Monday,21,9
1-24E,main,go,42,890,891,Monday,22,4
1-24E,main,go,43,891,4174,Monday,23,4
1-24E,main,go,44,4174,892,Tuesday,0,3
1-24E,main,go,45,892,5548,Tuesday,1,5
1-24E,main,go,46,5548,893,Tuesday,2,5
1-24E,main,go,47,893,5547,Tuesday,3,4
1-24E,main,go,48,5547,895,Tuesday,4,7
1-24E,main,go,49,895,4175,Tuesday,5,3
1-24E,main,go,50,4175,4176,Tuesday,6,3
1-24E,main,go,51,4176,896,Tuesday,7,4
1-24E,main,go,52,896,897,Tuesday,8,2
1-24E,main,go,53,897,3024,Tuesday,9,9
1-24E,main,go,54,3024,3025,Tuesday,10,9
1-24E,main,go,55,3025,3026,Tuesday,11,10
1-24E,main,go,56,3026,4177,Tuesday,12,5
1-24E,main,go,57,4177,3028,Tuesday,13,3
1-24E,main,go,58,3028,4178,Tuesday,14,5
1-24E,main,go,59,4178,3031,Tuesday,15,9
1-24E,main,go,60,3031,366,Tuesday,16,3
